age,weight,height,gender,activity,goal,bmr,tdee,calories,protein_g,carbs_g,fat_g,fitness_level
24,91,161,1,1.55,maintain,1943.76,3012.828,3012.828,145.6,338.94315,83.68966666666667,Advanced
37,56,173,1,1.55,maintain,1458.2599999999998,2260.303,2260.303,89.60000000000001,254.2840875,62.78619444444444,Advanced
46,60,189,1,1.2,muscle_gain,1537.36,1844.8319999999999,2144.832,120.0,241.2936,59.57866666666666,Beginner
32,68,187,0,1.55,muscle_gain,1515.3,2348.715,2648.715,136.0,297.98043750000005,73.57541666666667,Advanced
28,63,159,0,1.2,maintain,1399.6999999999998,1679.6399999999996,1679.6399999999996,100.80000000000001,188.95949999999996,46.65666666666666,Beginner
25,52,184,0,1.725,fat_loss,1388.9,2395.8525000000004,1995.8525000000004,83.2,224.53340625000004,55.440347222222236,Advanced
46,75,181,1,1.55,muscle_gain,1699.9599999999998,2634.9379999999996,2934.9379999999996,150.0,330.180525,81.52605555555554,Advanced
38,65,156,0,1.375,maintain,1365.7999999999997,1877.9749999999997,1877.9749999999997,104.0,211.27218749999997,52.165972222222216,Intermediate
24,61,170,0,1.725,maintain,1432.6,2471.235,2471.235,97.60000000000001,278.0139375,68.64541666666668,Advanced
43,67,169,1,1.2,fat_loss,1552.2600000000002,1862.7120000000002,1462.7120000000002,107.2,164.55510000000004,40.6308888888889,Beginner
36,81,175,1,1.725,fat_loss,1808.56,3119.766,2719.766,129.6,305.973675,75.54905555555555,Advanced
40,98,153,1,1.2,fat_loss,1907.96,2289.552,1889.5520000000001,156.8,212.57460000000003,52.48755555555556,Beginner
28,60,171,0,1.725,fat_loss,1409.3,2431.0425,2031.0425,96.0,228.49228125000002,56.41784722222222,Advanced
28,50,164,0,1.2,fat_loss,1295.6,1554.7199999999998,1154.7199999999998,80.0,129.90599999999998,32.07555555555555,Beginner
41,52,189,1,1.55,muscle_gain,1458.66,2260.9230000000002,2560.9230000000002,104.0,288.10383750000005,71.13675,Advanced
38,69,170,0,1.375,maintain,1446.0,1988.25,1988.25,110.4,223.678125,55.229166666666664,Intermediate
21,62,164,1,1.2,muscle_gain,1586.66,1903.992,2203.992,124.0,247.94910000000002,61.22200000000001,Beginner
25,69,171,1,1.725,muscle_gain,1691.26,2917.4235000000003,3217.4235000000003,138.0,361.96014375000004,89.37287500000001,Advanced
41,56,177,0,1.2,muscle_gain,1335.2,1602.24,1902.24,112.0,214.002,52.84,Beginner
20,59,163,1,1.2,muscle_gain,1547.3600000000001,1856.832,2156.8320000000003,118.0,242.64360000000005,59.912000000000006,Beginner
39,103,176,1,1.2,muscle_gain,2091.0599999999995,2509.2719999999995,2809.2719999999995,206.0,316.0430999999999,78.03533333333331,Beginner
38,70,190,1,1.725,fat_loss,1721.76,2970.036,2570.036,112.0,289.12905,71.38988888888889,Advanced
19,85,189,0,1.375,fat_loss,1733.8,2383.975,1983.975,136.0,223.19718749999998,55.110416666666666,Intermediate
